brand,parent_company,source_URL,
Volkswagen,Volkswagen Group,https://en.wikipedia.org/wiki/Volkswagen_Group,
Audi,Volkswagen Group,https://en.wikipedia.org/wiki/Volkswagen_Group,
Porsche,Volkswagen Group,https://en.wikipedia.org/wiki/Volkswagen_Group,
Lamborghini,Volkswagen Group,https://en.wikipedia.org/wiki/Volkswagen_Group,
Bentley,Volkswagen Group,https://en.wikipedia.org/wiki/Volkswagen_Group,
Bugatti,Volkswagen Group,https://en.wikipedia.org/wiki/Volkswagen_Group,
Skoda,Volkswagen Group,https://en.wikipedia.org/wiki/Volkswagen_Group,
SEAT,Volkswagen Group,https://en.wikipedia.org/wiki/Volkswagen_Group,
BMW,BMW Group,https://en.wikipedia.org/wiki/BMW,
Mini,BMW Group,https://en.wikipedia.org/wiki/BMW,
Rolls-Royce,BMW Group,https://en.wikipedia.org/wiki/BMW,
Toyota,Toyota Motor Corporation,https://en.wikipedia.org/wiki/Toyota,
Lexus,Toyota Motor Corporation,https://en.wikipedia.org/wiki/Toyota,
Mercedes-Benz,Mercedes-Benz Group,https://en.wikipedia.org/wiki/Mercedes-Benz_Group,
Smart,Mercedes-Benz Group,https://en.wikipedia.org/wiki/Mercedes-Benz_Group,
Chevrolet,General Motors,https://en.wikipedia.org/wiki/General_Motors,
GMC,General Motors,https://en.wikipedia.org/wiki/General_Motors,
Cadillac,General Motors,https://en.wikipedia.org/wiki/General_Motors,
Buick,General Motors,https://en.wikipedia.org/wiki/General_Motors,
Ford,Ford Motor Company,https://en.wikipedia.org/wiki/Ford_Motor_Company,
Lincoln,Ford Motor Company,https://en.wikipedia.org/wiki/Ford_Motor_Company,
Jeep,Stellantis,https://en.wikipedia.org/wiki/Stellantis,
Dodge,Stellantis,https://en.wikipedia.org/wiki/Stellantis,
Chrysler,Stellantis,https://en.wikipedia.org/wiki/Stellantis,
Ram,Stellantis,https://en.wikipedia.org/wiki/Stellantis,
Alfa Romeo,Stellantis,https://en.wikipedia.org/wiki/Stellantis,
Fiat,Stellantis,https://en.wikipedia.org/wiki/Stellantis,
Maserati,Stellantis,https://en.wikipedia.org/wiki/Stellantis,
Peugeot,Stellantis,https://en.wikipedia.org/wiki/Stellantis,
Citroën,Stellantis,https://en.wikipedia.org/wiki/Stellantis,
Opel,Stellantis,https://en.wikipedia.org/wiki/Stellantis,
Vauxhall,Stellantis,https://en.wikipedia.org/wiki/Stellantis,
Lancia,Stellantis,https://en.wikipedia.org/wiki/Stellantis,
Honda,Honda Motor Company,https://en.wikipedia.org/wiki/Honda,
Acura,Honda Motor Company,https://en.wikipedia.org/wiki/Honda,
Nissan,Nissan Motor Company,https://en.wikipedia.org/wiki/Nissan,
Infiniti,Nissan Motor Company,https://en.wikipedia.org/wiki/Nissan,
Hyundai,Hyundai Motor Company,https://en.wikipedia.org/wiki/Hyundai_Motor_Company,
Kia,Hyundai Motor Company,https://en.wikipedia.org/wiki/Hyundai_Motor_Company,
Genesis,Hyundai Motor Company,https://en.wikipedia.org/wiki/Hyundai_Motor_Company,
